article,name,engine_type,unit,monthly_plan,cell_code
0080004096,Замок,ТВ3-117,шт,60,С1-П1-Я1
0080055025,Кольцо уплотнительное,ТВ3-117,шт,20,С1-П1-Я2
0090040322,Кольцо стопорное,ТВ3-117,шт,20,С1-П2-Я1
0200045038,Шайба контровочная двойная,ТВ3-117,шт,220,С1-П2-Я2
0200704023,Контровка,ТВ3-117,шт,160,С1-П3-Я1
0250035013,Замок,ТВ3-117,шт,400,С1-П3-Я2
0250040316,Шайба контровочная двойная,ТВ3-117,шт,60,С2-П1-Я1
0250040347,Шайба контровочная,ТВ3-117,шт,240,С2-П1-Я2
0250040410,Шайба контровочная,ТВ3-117,шт,120,С2-П2-Я1
0250050218,Манжета,ТВ3-117,шт,20,С2-П2-Я2
0250050297,Кольцо уплотнительное,ТВ3-117,шт,20,С2-П3-Я1
0250050336,Манжета,ТВ3-117,шт,40,С2-П3-Я2
0252101034,Прокладка,ТВ3-117,шт,20,С3-П1-Я1
0257101044,Прокладка регулировочная,ТВ3-117,подбор,20,С3-П1-Я2
0252101223,Шайба уплотнительная,ТВ3-117,шт,20,С3-П2-Я1
0257101184,Шайба стопорная,ТВ3-117,шт,20,С3-П2-Я2
0257101185,Шайба упорная,ТВ3-117,шт,20,С3-П3-Я1
0257101186,Крышка,ТВ3-117,шт,20,С3-П3-Я2
0257101122,Прокладка,ТВ3-117,подбор,20,С4-П1-Я1
0360010177,Гайка,ТВ3-117,шт,20,С4-П1-Я2
0590050463,Прокладка,ТВ3-117,шт,40,С4-П2-Я1
0783020600,Шайба замковая,ТВ3-117,шт,1500,С4-П2-Я2
0780840525,Прокладка,ТВ3-117,подбор,40,С4-П3-Я1
0780840575,Манжета,ТВ3-117,шт,40,С4-П3-Я2
0780880021,Прокладка,ТВ3-117,шт,20,С5-П1-Я1
0780880024,Шайба контровочная,ТВ3-117,шт,20,С5-П1-Я2
0780880073,Прокладка,ТВ3-117,шт,20,С5-П2-Я1
0780890117,Лента,ТВ3-117,шт,60,С5-П2-Я2
0000040482,Шайба контровочная,ТВ3-117,шт,120,С5-П3-Я1
0000040563,Шайба контровочная,ТВ3-117,шт,20,С5-П3-Я2
0000045061,Шайба контровочная,ТВ3-117,шт,20,С6-П1-Я1
0000045066,Шайба контровочная,ТВ3-117,шт,300,С6-П1-Я2
0000045066-01,Шайба контровочная,ТВ3-117,шт,240,С6-П2-Я1
0000045071,Шайба контровочная,ТВ3-117,шт,160,С6-П2-Я2
0000045077,Замок контровочный,ТВ3-117,шт,80,С6-П3-Я1
0000045085,Шайба контровочная,ТВ3-117,шт,40,С6-П3-Я2
0000045102,Шайба стопорная двусторонняя,ТВ3-117,шт,420,С7-П1-Я1
0000055055,Шайба,ТВ3-117,шт,160,С7-П1-Я2
009-012-19-2-043А,Кольцо,ТВ3-117,шт,20,С7-П2-Я1
006-009-19-2-043А,Кольцо,ТВ3-117,шт,60,С7-П2-Я2
005-008-19-2-043А,Кольцо,ТВ3-117,шт,360,С7-П3-Я1
004-006-14-2-043А,Кольцо,ТВ3-117,шт,80,С7-П3-Я2
003-011-19-2-043А,Кольцо,ТВ3-117,шт,320,С8-П1-Я1
007-010-19-2-043А,Кольцо уплотнительное,ТВ3-117,шт,40,С8-П1-Я2
007-011-25-2-043А,Кольцо,ТВ3-117,шт,80,С8-П2-Я1
009-013-25-2-043А,Кольцо,ТВ3-117,шт,80,С8-П2-Я2
003-006-09-2-043А,Кольцо,ТВ3-117,шт,100,С8-П3-Я1
011-014-19-2-043А,Кольцо,ТВ3-117,шт,120,С8-П3-Я2
012-015-19-2-043А,Кольцо,ТВ3-117,шт,60,С9-П1-Я1
017-020-19-2-043А,Кольцо,ТВ3-117,шт,80,С9-П1-Я2
1x12.2 ГОСТ 397-79,Шплинт,ТВ3-117,шт,600,С9-П2-Я1
1x10.2 ГОСТ 397-79,Шплинт,ТВ3-117,шт,440,С9-П2-Я2
1.6x14.2 ГОСТ 397-79,Шплинт,ТВ3-117,шт,80,С9-П3-Я1
